2025-06-17 16:14:32,683 | INFO | login_page | Navigating to login page
2025-06-17 16:14:38,801 | INFO | login_page | Attempting login with: Admin
2025-06-17 16:14:42,084 | INFO | login_page | Navigating to login page
2025-06-17 16:14:45,053 | INFO | login_page | Attempting login with: wrong
2025-06-17 16:14:47,299 | INFO | login_page | Navigating to login page
2025-06-17 16:14:50,229 | INFO | login_page | Attempting login with: Admin
2025-06-17 16:14:55,634 | INFO | login_page | Navigating to login page
2025-06-17 16:14:58,683 | INFO | login_page | Attempting login with: Admin
2025-06-17 16:15:12,332 | INFO | login_page | Navigating to login page
2025-06-17 16:15:16,706 | INFO | login_page | Attempting login with: Admin
2025-06-17 16:15:56,501 | INFO | login_page | Navigating to login page
2025-06-17 16:15:59,407 | INFO | login_page | Attempting login with: Admin
